Day,Time
03/02,10:15
03/02,6:45
03/02,8:15
03/03,12:30
03/03,11:00
03/03,5:30 PM
03/04,
03/04,6:00 PM
03/05,12:30
03/05,17:05
03/05,20:30
03/05,22:00
03/06,12:45
03/06,8:00
03/06,22:00
03/07,11:00 AM
03/07,3:30 PM
03/07,6:45 PM
03/07,8:30 PM
03/07,11:55 PM
03/08,11:00 AM
03/08,3:00 PM
03/08,7:30 PM
03/09,10:45 AM
03/09,3:00 PM
03/09,7:00 PM
03/10,12:40 PM
03/10,5:25 PM
03/10,7:30 PM
03/11,11:00 AM
03/11,3:45 PM
03/11,7:15 PM
03/11,11:30 PM
03/12,5:00 PM
03/12,10:00 PM
03/13,10:00
03/13,15:00
03/13,19:30
03/14,4:40 PM
03/14,6:20 PM
03/14,10:00 PM
03/15,11:45 AM
03/15,2:15 PM
03/15,6:30 PM